id,GHP1_00000007,GHP2_00000006,GHP2_00000009,GHP2_00000029,GHP2_00000039,GHP2_00000038,GHP2_00000020,GHP2_00000090,GHP3_00000034,GHP2_00000012,GHP2_00000028,GHP2_00000017,GHP2_00000094,GHP2_00000005,GHP2_00000058,GHP3_00000048,GHP2_00000018,GHP2_00000174,GHP2_00000049,GHP1_00000262,GHP3_00000089,GHP1_00000280,GHP2_00000011,GHP2_00000040,GHP3_00000047,GHP1_00000004,GHP2_00000263,GHP2_00000244,GHP2_00000111,GHP2_00000426,GHP2_00000026,GHP1_00001700,GHP3_00000244,GHP2_00000139,GHP2_00000107,GHP2_00001271,GHP3_00000902,GHP2_00004393,GHP2_00003910,GHP2_00008629,GHP2_00000674,GHP1_00000793,GHP2_00001805,GHP3_00005700,GHP3_00000619
X_10,0.22062331492362003,0.05471897191941081,0.12358164356154658,0.04188943904741594,0.01509951152989666,0.03629737349481861,0.0137348771220126,0.01935349721779777,0.030125738565268633,0.28063464880557437,0.019848736896155957,0.01420170416218533,0.009742516315100366,0.009247584064709824,0.016914260820332844,0.0112742095974076,0.0013187228605947667,0.011041108438299594,0.025173801320330917,0.0038925533651528897,0.004324837847515293,0.006160295002209832,0.0010990499304582488,0.0037466845372538236,0.0058618114568103315,0.0023724687179409506,0.0015422172566857176,8.29471645628867e-6,0.001798380739779719,0.0023043681602988603,0.0052385807013521244,0,0.0034979216000320607,0,8.654728817475844e-4,0.001720400064691669,1.2115677753634156e-4,0,0,0,1.740762080759454e-4,0,0,0,4.497693735234735e-4
X_11,0.1823176247773941,0.08317168765848122,0.24184471783105926,0.04095559015444164,0.02938640263755866,0.04530099329571863,0.022264709934822897,0.032352532964187934,0.02033558648597027,0.028980504149176894,0.0250353345059225,0.026569855104235894,0.00789580455677455,0.09474310258501403,0.018537265387991816,0.014357563959322167,0.008409642396930211,0.011818041704134875,0.01317775924865929,0.00379437616492809,0.001970237941704206,0.005416751276259561,0,8.299537117068998e-4,0.0076564012892332296,0.0023350683537663917,0.004258966684660327,0,0.0030556944672550327,0.004690923162298016,0.006406906356967308,0,7.216988797451302e-6,0.00499832472937718,0.00543080929203187,0,6.350950141757147e-4,0,0,0,0,0,9.160195762122155e-4,0,1.4253565282965769e-4
X_12,0.17708319695049632,0.09788260494591572,0.26989653533616353,0.0380352318257376,0.017493295391918375,0.04743868632753669,0.017378763164096124,0.02762916603649588,0.005203783064864163,0.045241655723836156,0.026964830241800065,0.019729974178417833,0.02643203207912975,0.016470500082504554,0.030367565858744772,0.013710095100235636,0.02250455779952068,0.01024965376826561,0.01405288762149532,0.0035262256299808414,0,0.009276207712940073,0.0032831737832217404,0.025698985994656465,0.003427715460397005,7.683813096472207e-4,0.010198503267722916,2.2799817939039865e-4,0.0019187035244917438,0.0054921039120512756,0.008822956668555178,2.279981793903986e-5,0,0,0.003207333790893769,0,0,0,0,0,1.8149690742548448e-4,0,1.8239854351231888e-4,0,0
X_14,0.1539878799314945,0.09955682623731742,0.1549916942754399,0.03669649609609188,0.025964165625701217,0.06911040448723198,0.026160173341367946,0.020806578018079672,0.0173729310992423,0.0055723608597038525,0.020275337853898262,0.04730452398678765,0.015690449531101804,0.03266564941896556,0.020322843005027853,0.1335645385145257,0.023029302927332573,0.009422954549878924,0.0066334704825544615,0,0.008659075762488044,0.005445542575370005,0,0,0.010666768657349321,0.010754231845691601,0,0,0.0010157588044228947,0.004173845269083167,0.00813524372301697,0,0.009699896284833951,0.004334259208623601,0,0.013785249845446195,0,0,0.004192313610981766,0,0,0,0,0,9.234170949299042e-6
X_15,0.15571507598743295,0.10965998019267971,0.2517023261695775,0.03559595840293113,0.018424394361360074,0.07570148154635946,0.02178710267523824,0.025807822237852652,0.043190469269183074,0.02214974993324721,0.037134469354531956,0.024654023070126166,0.008631200959791552,0.02572033621699205,0.026372746159084363,0.008655823932359337,0.014304515190181782,0.019869909540639445,0.012271969871695473,0.0016104520680888337,0.0033097885339295114,0.008052585430532095,0,0.005127529490043031,0.01160427728425804,0.0027516855182863962,0.0013958157243449145,0,0.0017420634849624598,0.005900642270703959,0.01039566999395929,0.002660035104937134,0,0.0020717373338228207,0.0031287812284675203,0,0.0020925780006985,0,0,0,0,0,7.989107377410077e-4,0,8.092723960245393e-6
X_16,0.06153143747256343,0.18779445431579514,0.06317353449846527,0.02924600473861456,0.01898374086870811,0.12562574952627503,0.03178284490721582,0.03400554331173991,0.06362841121254766,0.014978198724562913,0.0378388210647645,0.03175464164996287,0.009334721228099734,0.021961376675749995,0.015470159981611767,0.09727357036904301,0.010241393126652974,0.022364824315139684,0.016129904507263874,0.0010785351545657311,0.0025913698721833694,0.011124224231127097,1.7026276878275717e-4,0.0062763655655877736,0.021848255351967313,0.006298963387961719,0.0059886519779922655,0,8.799470255351587e-4,0.005070618926977273,0.014193222387068659,0.00637597197388734,0.0021444046014187836,0.0021075146582675355,0.002403286035983819,0.016004349792363492,0.0015323649190448145,0,0,0,0,0,7.923588745092414e-4,0,0
X_17,0.09714432595717831,0.12023001436671185,0.14461630071362164,0.044319830265668485,0.0558561750693565,0.05059558502006334,0.029732536572430968,0.04979858128387485,0.015488840277359165,0.021212751698510474,0.05055077218509318,0.13406698551812274,0.009952486782819667,0.028524551716208366,0.006710418411321734,0.009466139598245445,0.015819676199798814,0.024426303286015465,0.03145655389905195,0.0038497516002299957,0,0.013260180455578757,0,0,0.006528387508365702,0.003443685590622417,0.0076559210999769395,0,0.006329319233165955,0.004225395887031387,0.005576253770259501,8.078270472393988e-4,0,0.00214421636736736,0.002589174929310915,0.0011806702998114291,0.0014653723720005898,0,0,0,9.750150175866152e-4,0,0,0,0
X_18,0.08705959337847104,0.120166579778911,0.2415742067287992,0.043164088946696676,0.056299130581918835,0.03467614553814592,0.026256275406378687,0.030722856162201162,0.027066832450243643,0.0047184224755376265,0.02715325610104584,0.03785605425391911,0.009042276103808708,0.02755499044698864,0.023472242294081465,0.01627019059505052,0.013737653431694771,0.015885657082847362,0.02089123772449044,0.00553429324032872,7.472973720541244e-4,0.006413068935518665,0,0.0664413989091328,0.005570475636576922,0.007005520255164937,0.004005684384528853,0,0.005076481944726003,0.006609322490643998,0.0031952950867189848,0.01358704239944677,0.0011339585778120044,0.0017957533715171551,0.005216484603877502,0,0.0026527392661335222,0.0014296101146872467,0,0,0,0,0,0,1.7883929901219206e-5
X_19,0.12801863935471208,0.1416314521104767,0.19232856964698025,0.02854790616191616,0.023401213070547516,0.06747482828370531,0.02610067592163665,0.03304794897417117,0.006011522928230439,0.05475672141289986,0.04231307926094951,0.04149027988692735,0.01381299775138972,0.026777015996056357,0.019223146508989958,0.01267161666563959,0.0237994909578913,0.021347823894025734,0.027117632471567087,0.004410117301895961,0.008758033632990363,0.014734515888581505,2.7656553809836176e-4,8.944911902511642e-4,0.004545031950459905,0.006992881360869312,0.009867914259165025,3.722997628247178e-4,0.0046148632191817356,0.0035513164665631446,0.0032606870899768736,0,0.0012116960452733022,0.0019002203574229686,0.0022676469598074955,0.002089033222801769,0,0,0,0,0,0,3.326089332333281e-4,1.583852063015848e-5,3.167704126031696e-5
X_2,0.3375951247835867,0.07384758067803351,0.1692090863425377,0.02182107294455192,0.03635478912021117,0.036778944419747904,0.018304024419324934,0.01851924295935851,0.008637804149176781,0.009795474054738332,0.03393020356303814,0.024045843466356916,0.005146349766677756,0.013135901638881215,0.008111247822162809,0.043408260925613354,0.023938016853730336,0.013604922670602768,0.012547391854360497,0.006146906751941657,0.007151287010527705,0.00672172855103866,0,0.007340907971739706,0.006307681357631934,0.01478663841762891,0.004217488956494547,1.8079137505710755e-4,0.01640657382683781,0.0011633531960196486,0.002482276117697421,8.590488092614248e-4,0.012687328318910783,0.0021458706118882937,0.0026103398996146655,0,5.2430209015955495e-5,0,0,0,0,0,0,0,8.06618600245469e-6
X_20,0.06745228272063297,0.11512676730648241,0.3024953888520905,0.03464786832595204,0.05082813662799816,0.039932356091295224,0.024285221019613445,0.021667595029265622,0.03679739312990132,0.006452459807977012,0.030086343138896004,0.036013854254260354,0.024722112564088003,0.029843079022605478,0.020811788770140883,0.008645483392797438,0.038638172522884776,0.012265479974461004,0.02473971329491897,0.0015201379103574662,0.002275362188076493,0.008590560607585052,0,0,0.005855790778631996,0.019209743995775228,0.004701269431027925,0,0.005248391789226602,0.006540405640665928,0.003639019511086149,0.009456088069809137,0.003465849616486505,0.0012601509025483711,0.0025169193901036697,0,6.847468064673271e-6,0,0,0,0,0,2.619668542932097e-4,0,0
X_21,0.06432508612314747,0.1917125699199456,0.1236065078604081,0.03554998349756941,0.04306145454226374,0.0471536652362262,0.03420610943748566,0.03846697628446187,0.017731969824449034,0.03230326001335568,0.043677499130770896,0.0459931087861814,0.03691013338428832,0.0332796911255259,0.037968302767113965,0.018187351280737306,0.034729976900899226,0.017505916245689677,0.017619860839890065,0.0024986881699540467,0.021825574277361072,0.0028385836237799747,6.810136393624917e-4,1.7574545531935266e-4,0.012155636904035741,0.003033238935255867,0.0018779077153872267,0,0.009715023726532273,0.0037765204334712413,0.004968881952847403,0.008834380024206114,0.0014251953543917655,0.001846583823235947,0.0025518671010880682,0,0,0.005476373990058334,0,0,0,0,0,0,0.0023293616733035274
X_22,0.036057411287925396,0.13472485102332613,0.3650950712301228,0.018967669424838633,0.026230958409490374,0.04896625259586786,0.02634604777697064,0.036428670650582536,0.00980155274361924,0.0046231297138355845,0.03519170440961533,0.032467620844404604,0.010382965348091487,0.013306093715367954,0.01739862287248707,0.06854597495775581,0.021092120070776585,0.018930411659024197,0.017114036202944504,0.003235884084038353,0.004020248310201896,0.009744969778659294,6.497964782352177e-4,0.0038948913751783486,0.0029420220627110914,0.0012417890532500783,0.0048478320793987235,2.406653623093399e-5,0.0038885296551875665,0.004409679359826096,0.004008502461357498,0.0013831217718912028,0,0.0031650223090174657,0.0016019686740756745,0.0016527395513942313,0,0.004152190305044889,0,0,0,0,0.0012273933477776335,0,0.0022381878694768616
X_23,0.04216577453117296,0.21082162420886585,0.12853031244915605,0.03723463402749187,0.027281609071786974,0.08284656406859353,0.0481332825603716,0.04111176166454831,0.014738457628822473,0.027554799522282118,0.04710952802174044,0.04374365450445721,0.010742774660417969,0.025802261738532804,0.02259415833109466,0.03678756362344745,0.030529364864667997,0.026534433664283697,0.023998348140307678,0,5.802433139936287e-5,0.013198597186602237,0,0.015259491709196325,0.011087989791555916,9.469587617407442e-4,0.0055093469910156125,0,0.003961239286155107,0.006399805173826045,0.00448139815263722,0,0,0.004907165753466944,0.004424121116512399,0,8.296758183729915e-4,0,0,0,0,0,0,6.752786454776699e-4,0
X_24,0.025789933586217072,0.12402050244500179,0.36976583595068496,0.016230043920140394,0.024497408715521626,0.0367975594953224,0.017079460647863816,0.043638088544626086,0.008845647336824164,0.023699962607957478,0.03700020568893679,0.04685468210522832,0.013048694824856419,0.03791444083714466,0.028401006971601604,0.02220167576911063,0.014912637944933105,0.015396871497488798,0.009784167604897578,0,0.026322983482367154,0.010476843928988674,0,0.014310222796199399,0.007681817882069419,2.189083889608922e-5,0.003066213576986817,0,0.0031800332645092124,0.0065226733621939125,0.001498081281439166,0.009592331377946187,2.0022476245027778e-5,0,7.178279747132041e-4,0,0,0,0,6.881442484815425e-4,0,0,0,0,2.208701460656013e-5
X_25,0.032432177524566626,0.1580150993846521,0.26792284075905004,0.027163395778731274,0.025657983666716625,0.06300237694098348,0.03490990671222536,0.03435448877898243,0.03429717793178821,0.016400679844573014,0.03051158669963782,0.04058932030348815,0.01247817237750864,0.022859014385844676,0.02323540080733973,0.011761935481260703,0.03807345287965577,0.019858785597035526,0.006028277030816163,6.102842270938011e-4,0.01334440548062771,0.005959953442179624,1.8308526812814028e-4,0.001962941445492447,0.0059175125652426025,0.0010069689747047716,0.005443385164533001,9.6602531780238e-4,0.0053668762384939785,0.004635134570505951,7.901851104717616e-5,0.03751490342830882,0.0010493196027011524,0.0033827098285699447,0.007439798947665823,0.0026618769333227755,7.71558531397906e-6,0,0,4.0844635636617596e-4,0.0012267780649226707,0,0,0.001273071576806545,7.71558531397906e-6
X_26,0.03455049960554656,0.12965639919092295,0.28779289825729615,0.024270123879907738,0.03719983573876962,0.045769378916636266,0.02693099162234096,0.022949777783438874,0.013672516755634582,0.01108150785941462,0.03284985329374932,0.031053576328835618,0.009867590918558124,0.027159018491588003,0.02393178333612827,0.09123103756607594,0.026720327176969125,0.015746819363786475,0.015565522721088446,0.0046084730774791005,0.009007997852313349,0.008054599809727217,0,0.008939631446674944,0.0046484817173776,0.001020985799294286,0.00534393648168797,0,0.0021247989728900287,0.003776179912788148,0.003922119048399426,0.021421331664312527,0.0027136678196363934,9.368970770438413e-4,0.0010488391363648788,0,7.904306035174002e-4,0,3.655448357103503e-4,8.861400106495089e-4,0.012390485927445228,0,0,0,0
X_27,0.024051901002186744,0.16884166793346822,0.2893263173068254,0.01980195116046031,0.03560515263628946,0.05684869267532744,0.037081216432797326,0.04195392552771788,0.012193762927207526,0.017837431596746618,0.041028341727370916,0.0345896136474313,0.01520665655457537,0.024425076836334467,0.018311202382939526,0.051664373166512775,0.012102518816452648,0.015665315491437706,0.023161766844085427,8.484516363265335e-4,0.004860475659303167,0.009777177519957015,3.5435478437143404e-4,0.009183444674003973,0.004572136710124909,0.0013865318693705201,0.002161964341510096,0,0.0032618770874881966,0.005860040547823057,0.0073526526477536245,0.0015875094339840253,0,0.0030067971847519263,0.0025576279964161755,0,0.002065181990792005,0,8.868959569403224e-4,5.658211015412626e-4,0,0,0,0,1.4174191374857366e-5
X_28,0.017642853467236482,0.13606922920161635,0.35148110004591354,0.020797132205861435,0.033859442105596674,0.047038812155596146,0.024977283155814323,0.03140192277348289,0.026961316166386494,0.049557068939399034,0.04500344610842851,0.03185482565149439,0.004315442541553156,0.033809653617761344,0.02463548781985757,0.007165616523059017,0.03116693997761961,0.01785434595505948,0.010265432552249548,0.002042246250331859,8.629209508444476e-5,0.012290271060880764,8.05392887454818e-4,0.001121797236097782,0.007853794938557996,0.006861815633054727,0.0026884092333543438,0,0.006858521603767942,0.0020052112143335646,0.0036570445384816594,0,0,0.0013231454579614866,0.004529362613721557,0,0,0,0,0.001977215289265377,0,0,0,1.2913835715470086e-5,2.9215147949924048e-5
