"","FF_GH_00000004","FF_GH_00000007","FF_GH_00000010","FF_GH_00000008","FF_GH_00000041","FF_GH_00000001","FF_GH_00000106","FF_GH_00000080","FF_GH_00000066","FF_GH_00000012","FF_GH_00000024","FF_GH_00000034","FF_GH_00000059","FF_GH_00000134","FF_GH_00000045","FF_GH_00000338","FF_GH_00000094","FF_GH_00000317","FF_GH_00000321","FF_GH_00000136","FF_GH_00000311","FF_GH_00000280","FF_GH_00000060","FF_GH_00000003","FF_GH_00000491","FF_GH_00000260","FF_GH_00000187","FF_GH_00000200","FF_GH_00000383","FF_GH_00000261","FF_GH_00000402","FF_GH_00000188","FF_GH_00000149","FF_GH_00001011","FF_GH_00001205","FF_GH_00000893","FF_GH_00000109","FF_GH_00000851","FF_GH_00000906","FF_GH_00001322","FF_GH_00001564","FF_GH_00001788","FF_GH_00002140","FF_GH_00000006","FF_GH_00002883","FF_GH_00000483","FF_GH_00003645","FF_GH_00000467","FF_GH_00001606","FF_GH_00002422","FF_GH_00000108","FF_GH_00001249","FF_GH_00001189","FF_GH_00001834","FF_GH_00004057","FF_GH_00001342","FF_GH_00007490","FF_GH_00000292","FF_GH_00001283","FF_GH_00001261","FF_GH_00001877","FF_GH_00001078","FF_GH_00002052","FF_GH_00006094","FF_GH_00010777","FF_GH_00003850","FF_GH_00001824","FF_GH_00001937","FF_GH_00000079","FF_GH_00006058","FF_GH_00022729","FF_GH_00019081","FF_GH_00033717","FF_GH_00000525","FF_GH_00005354","FF_GH_00021001","FF_GH_01653531"
"FF1_SS1",0.0445652753345061,0.176315368623061,0,0.0916093608401301,0.000106615491230876,0.212831174369636,0.00205234820619436,0.029878991417453,0.0259342182419105,0.0204168665707127,0.0195106348952503,0.0105016258862413,0.00610373687296764,0.00247881017111786,0.00935550935550936,0.0476304707073938,0,0.00509088970627432,0.237645929953622,0.000159923236846314,0.00231888693427155,0.000133269364038595,0.0145263606802068,0.00788954635108481,0.000559731328962098,0.0030918492456954,0.0045045045045045,0.000426461964923503,0.00149261687723226,0.00367823444746522,0.00239884855269471,0,0.000559731328962098,0,7.99616184231569e-05,0,0.00247881017111786,0,0.000133269364038595,0.00117277040353963,0,0.00117277040353963,2.6653872807719e-05,0,0.000959539421077883,2.6653872807719e-05,2.6653872807719e-05,0,0,0.00167919398688629,0.000159923236846314,0,0.000293192600884909,0,0,0.000559731328962098,0,0.000133269364038595,0,2.6653872807719e-05,0,0.000559731328962098,0,0,0,0,0,0,2.6653872807719e-05,0,0.00466442774135082,0,0,0,0.00205234820619436,0,0
"FF1_SS2",0,0.137551408777434,0.837088238300817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00958582022065473,0,0,0,0,0,0,0,0,1.57273506491464e-05,0,0,0,0,0,0,0.000644821376615002,0.000298819662333782,0.00110877822076482,0,0.00353865389605794,4.71820519474392e-05,0,0.00889381679209229,0,0,0,0,0,0,0,0,3.14547012982928e-05,0,0,0.000833549584404759,7.8636753245732e-06,0,0,0,0,0.000330274363632074,0,0,0,0,0,0,2.35910259737196e-05,0,0,0,0,0,0,0,0
"FF1_SS3",0.447779208239459,0.137572417122626,0.000140811071773415,0.0587383327969102,0.000362085613131638,0.0114861602832314,0.00299726424203412,0.084888960411973,0.0401512713228194,0.0106412938525909,0.0864378822014805,0.00939411007402639,0.00124718377856453,0.000965561635017702,0.0370735436112005,0.00183054393305439,0.00126729964596073,0.00685951078210492,4.02317347924042e-05,0.013537978757644,0,4.02317347924042e-05,0.000442549082716447,0.00362085613131638,0.00341969745735436,0.0114660444158352,0.00205181847441262,0,0.00203170260701641,0,0.00810669456066946,0,0.000402317347924042,6.03476021886064e-05,0,0.00066382362407467,0.00323865465078854,6.03476021886064e-05,0.00150869005471516,0.000784518828451883,0,0.00354039266173157,0,0,0.0009454457676215,4.02317347924042e-05,0.000301738010943032,0.000160926939169617,0,0,0.000402317347924042,0.000140811071773415,0.000261506276150628,0,0,0.000261506276150628,0.000140811071773415,0.000201158673962021,0.00128741551335694,0,0.000181042806565819,0.000341969745735436,0.000221274541358223,0,0,0,0.000201158673962021,0,0,0,0,6.03476021886064e-05,0,0,0,0,0
"FF2_SS1",0.405606610127894,0.00147255324370756,0,0.0321507458209484,0.00392680864988683,0.295683237435576,0,0,0,0,0,0.010062447165335,0,0.00141801423468136,5.4539009026206e-05,5.4539009026206e-05,0.0199067382945652,0.00809904284039159,0,0.00158163126175997,0,0,0.0655831583540127,0.0320689373074091,0.00190886531591721,2.7269504513103e-05,0,0,0.00297237599192823,0,5.4539009026206e-05,0,0,0.00897166698481089,0,0.000599929099288266,0,0.0241880505031224,0.000109078018052412,0.00111804968503722,0,0,0,0,0.00436312072209648,0.0380409587957787,0.000245425540617927,0,0,0.0302418805050312,0.00054539009026206,0,0,0,0,2.7269504513103e-05,8.1808513539309e-05,0.00100897166698481,0,0.000354503558670339,0.000299964549644133,2.7269504513103e-05,0,0,0,0,8.1808513539309e-05,0,0.000136347522565515,0,0,0.00226336887458755,0.00250879441520548,0.00215429085653514,0,0,0
"FF2_SS2",0.210068810560315,0.011557365538548,0,0.0374526049712119,0.427159106867013,0.00617890745681786,0,0.0302204746524365,0.00925431821373402,0,0.043252352197725,0.00697935683190563,0,0,0.0201657070636147,0,0.156045499227637,0.00414267659036652,0,0.00397416093245331,0,0,0.00141834012076955,0.00273837944108973,0,0.00870664232551608,0,0,0.00141834012076955,0,0.00560314562561438,0,0.00157281280719,0,0,0.000308945372840893,0,8.42578289566072e-05,0,0.000645976688667322,0,0,0,0,0.00372138744558349,0.00161494172166831,0.000112343771942143,0,0,1.40429714927679e-05,0,0,2.80859429855357e-05,0,0,5.61718859710715e-05,0,0,0.00528015728128072,0,0.000210644572391518,1.40429714927679e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FF2_SS3",0.335974982864976,0.0518334475668266,0,0.0261737491432488,0.00158498971898561,0.000128512679917752,0.00651130911583276,0.0206477039067855,0.190927004797807,0.0154215215901302,0.0460075394105552,0.0888450993831391,0.00291295407813571,0.00702535983550377,0.0187628512679918,0.0152501713502399,0.00145647703906785,0.0489204934886909,0.0113947909527073,0.0325137080191912,0,0.00111377655928718,0.000514050719671008,0.00269876627827279,0.000342700479780672,0.00839616175462646,0.000171350239890336,0,0.0163639479095271,0,0.0045407813570939,0,0.000771076079506511,0.00042837559972584,0.000257025359835504,0.000128512679917752,0.000257025359835504,0,0.00398389307745031,0.00766792323509253,0,0.0088245373543523,8.56751199451679e-05,0,0.00218471555860178,0,0.000128512679917752,4.2837559972584e-05,0,0,0.000128512679917752,0.00141363947909527,0.00145647703906785,0,0,0.0106665524331734,0,0,0.00398389307745031,0,0.000685400959561343,0.000299862919808088,0,0,0,0.000171350239890336,0,0,0,0,0,0,0,0,0,0,0
"FF3_SS1",0.520429255336239,0.132492958199013,0,0.0245151064034872,0.0413832988829508,0.0226087329042208,0.0029666598836898,0.0156044167889388,0.0693148836362468,0.00938192800762549,0.0145120005140782,0.0011352561287766,0.0193100641526812,0.00221696244015808,0.00575125038823618,0.00172430412012295,0.0075933641066284,0.000514078246993178,0.0010924162748605,0.0552312816613295,0,0.0145012905505992,0.000321298904370736,0.00207773291493076,0.000728277516573669,0.00238832185582247,2.14199269580491e-05,0.000696147626136595,0.000310588940891712,0,0.00140300521575221,0,0.0016172044853327,0,0.00570841053432008,0.000128519561748294,0.00128519561748294,9.63896713112208e-05,0.00217412258624198,0.000192779342622442,0,0.00100673656702831,0.0127448565400392,0,0.000417688575681957,0.000289169013933662,5.35498173951227e-05,6.42597808741472e-05,0,0,0.000182069379143417,0.000160649452185368,3.21298904370736e-05,0.00197063328014051,0,9.63896713112208e-05,2.14199269580491e-05,6.42597808741472e-05,0.000203489306101466,8.56797078321963e-05,0.000492658320035129,0.000246329160017564,0,0,0,2.14199269580491e-05,0.000257039123496589,0,0,0,0,9.63896713112208e-05,6.42597808741472e-05,0,0,0,0
"FF3_SS2",0.146626821910857,0.131600462349525,0,0.0959093343858363,0.000338304530461504,0.25869019762623,0.00124044994502551,0.00594852132728144,0.0320825463054326,0.00296016464153816,0.0205801922697415,0.0755546784697358,0.00146598629866652,0.00239632375743565,0.00857038143835809,0.0222999069662541,0.000535648839897381,0.0509148318344563,0.00169152265230752,0.00369315779087142,0,0,0.0560457838797891,0.00287558850892278,0.00191705900594852,0.0024527078458459,0.00183248287333315,0,0.0180147162470751,0,0.00183248287333315,0,0,0.000620224972512757,0,0.000366496574666629,0.00242451580164078,2.81920442051253e-05,0.00792196442164021,0.00648417016717882,0,0.00941614276451186,0,0,0.00349581348143554,0.00107129767979476,0.000225536353641002,0,0,0.00171971469651264,0.00202982718276902,0,0.00174790674071777,0.00327027712779454,0,0.00414423049815342,0,0.00453891911702518,0,0,0.000112768176820501,0.000197344309435877,0,0,0,0,0.000140960221025627,0,0.00197344309435877,0,0,0,0,0,0,0,0
"FF3_SS3",0.390193599893553,0.0947541747056084,4.98968797817843e-05,0.069855631694498,0.0254141441021888,0.00377553057015501,0.0279422526777992,0.0258632160202249,0.0403832080367241,0.0497139245559178,0.0168817776595037,0.00355931075776728,0.0107444614463442,0.0156343556649591,0.00628700685250482,0.00982968531701151,0,0.00197924289801078,0.000632027143902601,0.00404164726232453,0,0.0491983234648393,0.000648659437163196,0.0119253542678465,0.0421794957088683,0.00212893353735613,0.00219546271039851,0.00948040715853902,0.000299381278690706,0,0.00138048034062937,0,0.027459916173242,0.00292728361386468,0.0195595768744595,3.32645865211895e-05,0.00422460248819107,0,0.00316013571951301,0.000182955225866542,0,0.00405827955558512,0.00775064865943716,0,0.00392522120950037,0,4.98968797817843e-05,0.000981305302375092,1.66322932605948e-05,0,0.00575477346816579,1.66322932605948e-05,0.000216219812387732,8.31614663029739e-05,0,1.66322932605948e-05,0,0,0.000681924023684386,1.66322932605948e-05,0.000432439624775464,0.000166322932605948,0,0,0,0.000249484398908922,0.000981305302375092,0,0,1.66322932605948e-05,3.32645865211895e-05,0,1.66322932605948e-05,0,0,1.66322932605948e-05,0
"FF4_SS1",0.559455567745474,0.0420803620405924,0,0.0478606692265496,0.00019884805266045,0.028736972024136,0.0244377399890291,0.0100589687328579,0.00584201865057597,0.131637410861218,0.00931157432803072,0.00026055951727921,0.0460573230938014,0.0176700493691717,0.00522490400438837,0.0159352715304443,6.85682940208448e-06,0.000219418540866703,0.00392896324739441,6.17114646187603e-05,0,0.00135079539221064,0.00142622051563357,0.0113137685134394,0.0058763027975864,0.00140565002742732,0.00872874382885354,0.00309928688974218,0.000164563905650027,0,0.0016799232035107,0,0.00201590784421284,4.11409764125069e-05,0.000774821722435546,1.3713658804169e-05,0.000329127811300055,0,0.0014125068568294,6.85682940208448e-06,0,0.000555403181568843,0.000116566099835436,0,0.000953099286889742,2.74273176083379e-05,0,0.000671969281404279,0,0,0.00322956664838179,0.000226275370268788,0.00412781130005485,0.000363411958310477,0,0.000157707076247943,0,1.3713658804169e-05,1.3713658804169e-05,0,0.000685682940208448,0.000150850246845858,0,1.3713658804169e-05,0,0,3.42841470104224e-05,2.74273176083379e-05,0,0,6.85682940208448e-06,0,0,0,0,0,0
